emp_id,Gender,AgeGroup,Age,MaritalStatus,Department,true_attrition,predicted_risk,n_cf_found,recourse_found,L1_cost,changed_feats
0,Female,Senior,41,Single,Sales,1,76.0,3,True,1.1153,JobRole;StockOptionLevel;TrainingTimesLastYear;WorkLifeBalance
2,Male,Senior,37,Single,Research & Development,1,43.0,3,True,0.8125,BusinessTravel;JobInvolvement;JobRole
3,Female,Young,33,Married,Research & Development,0,27.5,3,True,0.5994,DistanceFromHome;JobLevel;JobRole;RelationshipSatisfaction;StockOptionLevel;WorkLifeBalance
14,Male,Young,28,Single,Research & Development,1,87.5,3,True,0.9092,BusinessTravel;JobLevel;MonthlyIncome;OverTime;StockOptionLevel
17,Male,Young,22,Divorced,Research & Development,0,36.5,3,True,0.3722,TrainingTimesLastYear;WorkLifeBalance
21,Male,Senior,36,Single,Sales,1,22.0,3,True,0.8524,DistanceFromHome;EnvironmentSatisfaction;JobLevel;OverTime
23,Male,Young,21,Single,Research & Development,0,57.0,3,True,0.9008,BusinessTravel;DistanceFromHome;JobLevel;StockOptionLevel
26,Female,Young,32,Single,Research & Development,1,74.0,3,True,0.8779,DistanceFromHome;MonthlyIncome;OverTime;StockOptionLevel;TrainingTimesLastYear
32,Male,Young,30,Single,Research & Development,0,20.0,3,True,0.9903,JobRole;OverTime;RelationshipSatisfaction;TrainingTimesLastYear
33,Male,Senior,39,Married,Sales,1,66.5,3,True,0.0769,MonthlyIncome
34,Male,Young,24,Married,Research & Development,1,72.5,3,True,0.2749,BusinessTravel;JobLevel;MonthlyIncome
36,Male,Senior,50,Married,Sales,1,22.0,3,True,0.6111,BusinessTravel;EnvironmentSatisfaction;JobInvolvement
41,Female,Young,27,Divorced,Research & Development,0,44.0,3,True,0.748,BusinessTravel;JobInvolvement;MonthlyIncome;RelationshipSatisfaction;WorkLifeBalance
42,Male,Young,26,Single,Research & Development,1,82.5,3,True,0.5068,MonthlyIncome;StockOptionLevel
47,Male,Senior,37,Married,Research & Development,0,21.0,3,True,0.7929,DistanceFromHome;JobInvolvement;StockOptionLevel;TrainingTimesLastYear
48,Male,Senior,46,Single,Sales,0,20.0,3,True,0.5393,DistanceFromHome;EnvironmentSatisfaction;JobInvolvement;TrainingTimesLastYear
49,Male,Senior,35,Married,Research & Development,0,24.5,3,True,0.5018,BusinessTravel;EnvironmentSatisfaction;JobLevel;MonthlyIncome
50,Male,Senior,48,Single,Research & Development,1,68.5,3,True,0.9638,BusinessTravel;EnvironmentSatisfaction;MonthlyIncome;OverTime;StockOptionLevel
51,Male,Young,28,Single,Research & Development,1,73.0,3,True,0.8835,BusinessTravel;MonthlyIncome;OverTime;RelationshipSatisfaction;StockOptionLevel
63,Female,Senior,59,Single,Sales,0,21.5,3,True,0.8163,DistanceFromHome;EnvironmentSatisfaction;JobInvolvement;JobRole;OverTime
69,Male,Senior,36,Married,Research & Development,1,24.0,3,True,0.591,MonthlyIncome;RelationshipSatisfaction;StockOptionLevel;TrainingTimesLastYear
89,Male,Senior,46,Single,Sales,1,68.5,3,True,0.9542,BusinessTravel;JobRole;StockOptionLevel;WorkLifeBalance
100,Male,Senior,37,Divorced,Human Resources,1,70.5,3,True,0.6753,EnvironmentSatisfaction;JobRole;MonthlyIncome;OverTime;StockOptionLevel;WorkLifeBalance
102,Female,Young,20,Single,Research & Development,1,57.5,3,True,0.7675,DistanceFromHome;EnvironmentSatisfaction;OverTime;StockOptionLevel
107,Male,Young,25,Single,Sales,1,71.0,3,True,0.8361,JobRole;OverTime;StockOptionLevel;TrainingTimesLastYear;WorkLifeBalance
