emp_id,Gender,AgeGroup,Age,MaritalStatus,Department,true_attrition,predicted_risk,n_cf_found,recourse_found,L1_cost,changed_feats
0,Female,Senior,41,Single,Sales,1,77.8,3,True,0.5444,JobRole;StockOptionLevel
2,Male,Senior,37,Single,Research & Development,1,78.8,3,True,1.2167,BusinessTravel;JobRole;OverTime;TrainingTimesLastYear
3,Female,Young,33,Married,Research & Development,0,75.6,3,True,0.9944,EnvironmentSatisfaction;JobLevel;OverTime;StockOptionLevel;WorkLifeBalance
14,Male,Young,28,Single,Research & Development,1,91.6,3,True,1.3007,EnvironmentSatisfaction;JobLevel;JobRole;MonthlyIncome;StockOptionLevel;TrainingTimesLastYear
19,Male,Senior,38,Single,Research & Development,0,61.5,3,True,0.4905,MonthlyIncome;OverTime
23,Male,Young,21,Single,Research & Development,0,73.3,0,False,,
26,Female,Young,32,Single,Research & Development,1,88.4,3,True,0.7556,StockOptionLevel
30,Male,Young,33,Single,Research & Development,0,60.2,3,True,0.6597,BusinessTravel;EnvironmentSatisfaction;JobRole;MonthlyIncome;StockOptionLevel
34,Male,Young,24,Married,Research & Development,1,89.8,3,True,1.3667,BusinessTravel;OverTime
36,Male,Senior,50,Married,Sales,1,86.8,3,True,1.0833,BusinessTravel;EnvironmentSatisfaction;OverTime
38,Female,Senior,36,Married,Research & Development,0,71.1,3,True,0.9181,BusinessTravel;MonthlyIncome;OverTime
41,Female,Young,27,Divorced,Research & Development,0,63.0,3,True,0.612,BusinessTravel;JobLevel;JobRole;JobSatisfaction;MonthlyIncome
42,Male,Young,26,Single,Research & Development,1,91.0,3,True,3.5859,DistanceFromHome;EnvironmentSatisfaction;JobInvolvement;JobSatisfaction;MonthlyIncome;StockOptionLevel;TrainingTimesLastYear;WorkLifeBalance
47,Male,Senior,37,Married,Research & Development,0,59.8,3,True,0.754,BusinessTravel;DistanceFromHome;MonthlyIncome;StockOptionLevel
48,Male,Senior,46,Single,Sales,0,68.8,3,True,0.8917,EnvironmentSatisfaction;JobRole;StockOptionLevel;TrainingTimesLastYear
50,Male,Senior,48,Single,Research & Development,1,82.1,3,True,0.9889,EnvironmentSatisfaction
51,Male,Young,28,Single,Research & Development,1,83.6,3,True,0.7556,StockOptionLevel
54,Female,Young,26,Married,Sales,0,68.2,3,True,1.1833,BusinessTravel;DistanceFromHome;JobRole;OverTime
55,Female,Young,33,Single,Research & Development,0,59.8,3,True,1.0406,EnvironmentSatisfaction;MonthlyIncome;OverTime;StockOptionLevel;TrainingTimesLastYear
63,Female,Senior,59,Single,Sales,0,69.3,3,True,0.6484,JobLevel;MonthlyIncome;StockOptionLevel
69,Male,Senior,36,Married,Research & Development,1,62.9,3,True,1.0222,BusinessTravel;JobSatisfaction;OverTime
70,Female,Senior,59,Single,Sales,0,63.9,3,True,0.6278,StockOptionLevel;TrainingTimesLastYear
72,Male,Young,31,Single,Research & Development,0,70.6,3,True,0.7831,JobInvolvement;MonthlyIncome;StockOptionLevel
86,Male,Young,23,Divorced,Sales,0,75.7,3,True,1.3903,BusinessTravel;JobInvolvement;JobRole
91,Male,Senior,51,Single,Sales,0,60.4,3,True,0.4576,JobRole;MonthlyIncome
100,Male,Senior,37,Divorced,Human Resources,1,83.4,3,True,0.6194,JobRole;MonthlyIncome;StockOptionLevel
101,Male,Young,32,Single,Research & Development,0,75.6,3,True,1.4863,JobInvolvement;JobSatisfaction;MonthlyIncome;StockOptionLevel;TrainingTimesLastYear
102,Female,Young,20,Single,Research & Development,1,84.5,3,True,0.834,JobRole;MonthlyIncome;OverTime
107,Male,Young,25,Single,Sales,1,75.1,3,True,0.6407,MonthlyIncome;OverTime;TrainingTimesLastYear
109,Female,Young,22,Single,Research & Development,0,74.0,3,True,2.7532,DistanceFromHome;EnvironmentSatisfaction;JobInvolvement;MonthlyIncome;RelationshipSatisfaction;StockOptionLevel;TrainingTimesLastYear;WorkLifeBalance
111,Male,Young,34,Single,Research & Development,1,78.1,3,True,1.3111,EnvironmentSatisfaction;JobInvolvement;StockOptionLevel
122,Female,Senior,56,Married,Research & Development,1,79.4,3,True,0.5817,MonthlyIncome;OverTime
124,Male,Young,31,Married,Sales,1,87.1,3,True,1.0667,JobInvolvement;StockOptionLevel
127,Male,Young,19,Single,Sales,1,95.8,0,False,,
132,Female,Young,31,Married,Sales,1,76.7,3,True,0.7917,BusinessTravel;OverTime
136,Male,Senior,51,Single,Research & Development,1,60.3,3,True,0.5667,EnvironmentSatisfaction;JobInvolvement;StockOptionLevel;WorkLifeBalance
138,Male,Young,25,Married,Sales,0,67.6,3,True,0.9019,JobRole;JobSatisfaction;MonthlyIncome;StockOptionLevel
140,Female,Young,32,Single,Research & Development,1,82.3,3,True,1.9832,EnvironmentSatisfaction;JobInvolvement;JobSatisfaction;MonthlyIncome;RelationshipSatisfaction;StockOptionLevel
149,Female,Young,19,Single,Research & Development,0,78.5,0,False,,
171,Female,Young,19,Single,Sales,1,88.3,3,True,4.2286,BusinessTravel;EnvironmentSatisfaction;JobInvolvement;JobLevel;JobSatisfaction;MonthlyIncome;RelationshipSatisfaction;StockOptionLevel;TrainingTimesLastYear
177,Male,Young,19,Single,Research & Development,1,80.7,0,False,,
180,Female,Young,31,Married,Research & Development,0,64.7,3,True,0.7074,JobInvolvement;JobLevel;MonthlyIncome;OverTime
182,Female,Senior,41,Single,Sales,1,81.2,3,True,0.6873,DistanceFromHome;JobSatisfaction;OverTime
192,Male,Senior,35,Married,Research & Development,1,76.3,3,True,0.8944,BusinessTravel;TrainingTimesLastYear
202,Male,Young,34,Divorced,Research & Development,0,60.5,3,True,1.0167,BusinessTravel;OverTime;WorkLifeBalance
204,Male,Senior,38,Married,Research & Development,1,78.0,3,True,1.1563,DistanceFromHome;OverTime;StockOptionLevel
206,Male,Young,22,Divorced,Research & Development,0,66.9,3,True,0.6944,JobLevel;JobRole;OverTime;TrainingTimesLastYear
210,Male,Young,32,Married,Sales,1,71.9,3,True,0.9875,BusinessTravel;JobLevel;JobRole;StockOptionLevel
214,Female,Young,30,Single,Research & Development,1,84.0,3,True,1.0444,BusinessTravel;JobSatisfaction;OverTime
216,Female,Young,30,Single,Sales,1,80.2,3,True,1.2819,JobRole;JobSatisfaction;StockOptionLevel
229,Male,Young,29,Single,Research & Development,1,82.3,3,True,1.3611,BusinessTravel;JobRole;OverTime;TrainingTimesLastYear
234,Male,Young,33,Married,Research & Development,1,84.5,3,True,0.8,OverTime;RelationshipSatisfaction;TrainingTimesLastYear
236,Female,Young,33,Married,Research & Development,1,78.7,3,True,1.9653,EnvironmentSatisfaction;JobLevel;JobSatisfaction;MonthlyIncome;StockOptionLevel;TrainingTimesLastYear
239,Male,Young,32,Single,Research & Development,1,77.5,3,True,0.6722,JobInvolvement;JobRole;RelationshipSatisfaction
264,Male,Young,28,Single,Research & Development,1,79.6,3,True,2.0352,EnvironmentSatisfaction;MonthlyIncome;RelationshipSatisfaction;StockOptionLevel
271,Male,Senior,47,Married,Research & Development,1,60.1,3,True,0.6511,DistanceFromHome;EnvironmentSatisfaction;MonthlyIncome
274,Male,Young,21,Single,Research & Development,0,59.7,3,True,0.6667,BusinessTravel;StockOptionLevel
284,Male,Young,26,Married,Research & Development,0,59.7,3,True,0.9705,EnvironmentSatisfaction;JobSatisfaction;MonthlyIncome;OverTime
286,Male,Senior,44,Divorced,Research & Development,1,77.2,3,True,0.9444,EnvironmentSatisfaction;OverTime;RelationshipSatisfaction;TrainingTimesLastYear
288,Male,Young,26,Divorced,Research & Development,1,84.1,3,True,0.8004,BusinessTravel;EnvironmentSatisfaction;MonthlyIncome;OverTime
293,Male,Young,26,Single,Sales,1,77.7,3,True,1.3222,JobInvolvement;StockOptionLevel;TrainingTimesLastYear
294,Male,Senior,37,Married,Research & Development,0,67.9,3,True,0.6941,EnvironmentSatisfaction;MonthlyIncome;OverTime
296,Male,Young,18,Single,Research & Development,1,82.4,0,False,,
301,Female,Young,18,Single,Sales,0,88.7,0,False,,
310,Male,Young,31,Married,Human Resources,0,77.6,3,True,1.4111,EnvironmentSatisfaction;StockOptionLevel
318,Female,Young,27,Single,Research & Development,0,79.3,3,True,0.6857,BusinessTravel;MonthlyIncome;OverTime
319,Female,Young,32,Married,Sales,0,67.7,3,True,0.6931,JobRole;StockOptionLevel
320,Male,Young,27,Single,Sales,0,72.2,3,True,0.5361,EnvironmentSatisfaction;JobRole
323,Male,Young,28,Married,Research & Development,1,91.6,3,True,1.6444,BusinessTravel;EnvironmentSatisfaction;JobInvolvement;OverTime
327,Female,Senior,39,Married,Sales,1,72.9,3,True,0.5806,JobRole;RelationshipSatisfaction;StockOptionLevel
336,Male,Young,29,Married,Research & Development,1,90.9,3,True,1.4889,JobInvolvement;JobSatisfaction;StockOptionLevel
350,Male,Senior,42,Divorced,Human Resources,0,59.4,3,True,0.575,BusinessTravel;JobLevel;TrainingTimesLastYear
357,Female,Young,21,Single,Sales,1,93.0,3,True,1.5806,EnvironmentSatisfaction;JobInvolvement;JobRole;JobSatisfaction;StockOptionLevel
363,Female,Young,33,Single,Sales,1,91.1,0,False,,
366,Male,Senior,41,Single,Sales,1,62.7,3,True,0.8257,EnvironmentSatisfaction;JobInvolvement;JobRole;MonthlyIncome
