config,model,attribute,EqualEffectiveness,CostOfEffectiveness,EffectivenessWithinBudget,ChoiceForRecourse
tight,RF,Gender,0.006,0.037,0.02,0.0
tight,RF,AgeGroup,0.005,0.023,0.017,0.0
tight,RF,MaritalStatus,0.007,0.071,0.149,0.0
tight,XGB,Gender,0.009,0.049,0.077,0.01
tight,XGB,AgeGroup,0.026,0.04,0.009,0.03
tight,XGB,MaritalStatus,0.034,0.134,0.13,0.04
moderate,RF,Gender,0.006,0.047,0.047,0.0
moderate,RF,AgeGroup,0.005,0.033,0.025,0.0
moderate,RF,MaritalStatus,0.007,0.153,0.225,0.0
moderate,XGB,Gender,0.004,0.022,0.023,0.01
moderate,XGB,AgeGroup,0.013,0.016,0.019,0.03
moderate,XGB,MaritalStatus,0.017,0.129,0.135,0.03
loose,RF,Gender,0.0,0.052,0.07,0.0
loose,RF,AgeGroup,0.0,0.017,0.029,0.0
loose,RF,MaritalStatus,0.0,0.125,0.195,0.0
loose,XGB,Gender,0.004,0.043,0.005,0.02
loose,XGB,AgeGroup,0.013,0.021,0.043,0.01
loose,XGB,MaritalStatus,0.017,0.159,0.242,0.02
