emp_id,Gender,AgeGroup,Age,MaritalStatus,Department,true_attrition,predicted_risk,n_cf_found,recourse_found,L1_cost,changed_feats
0,Female,Senior,41,Single,Sales,1,99.3,3,True,0.5444,JobRole;RelationshipSatisfaction;StockOptionLevel
2,Male,Senior,37,Single,Research & Development,1,84.4,3,True,0.5464,MonthlyIncome;OverTime
14,Male,Young,28,Single,Research & Development,1,99.9,3,True,0.6778,EnvironmentSatisfaction;OverTime
23,Male,Young,21,Single,Research & Development,0,56.6,3,True,1.3083,BusinessTravel;DistanceFromHome;EnvironmentSatisfaction;JobSatisfaction;StockOptionLevel
26,Female,Young,32,Single,Research & Development,1,99.8,3,True,0.8889,RelationshipSatisfaction;StockOptionLevel
33,Male,Senior,39,Married,Sales,1,98.6,3,True,0.7944,JobRole;MonthlyIncome;StockOptionLevel;WorkLifeBalance
34,Male,Young,24,Married,Research & Development,1,99.5,3,True,0.6417,DistanceFromHome;MonthlyIncome;OverTime;RelationshipSatisfaction
41,Female,Young,27,Divorced,Research & Development,0,55.1,3,True,0.692,BusinessTravel;JobRole;MonthlyIncome
42,Male,Young,26,Single,Research & Development,1,99.7,3,True,2.3858,EnvironmentSatisfaction;JobInvolvement;JobSatisfaction;MonthlyIncome;RelationshipSatisfaction;StockOptionLevel;TrainingTimesLastYear
50,Male,Senior,48,Single,Research & Development,1,99.5,3,True,1.0722,EnvironmentSatisfaction;TrainingTimesLastYear
51,Male,Young,28,Single,Research & Development,1,99.4,3,True,0.8772,JobInvolvement;JobLevel;MonthlyIncome;StockOptionLevel
63,Female,Senior,59,Single,Sales,0,31.2,3,True,0.9625,EnvironmentSatisfaction;JobRole;JobSatisfaction;OverTime;RelationshipSatisfaction
89,Male,Senior,46,Single,Sales,1,98.7,3,True,0.5597,JobRole;StockOptionLevel
100,Male,Senior,37,Divorced,Human Resources,1,99.3,3,True,0.973,BusinessTravel;MonthlyIncome;OverTime;RelationshipSatisfaction
102,Female,Young,20,Single,Research & Development,1,95.0,3,True,0.7986,JobInvolvement;JobLevel;JobRole;StockOptionLevel
107,Male,Young,25,Single,Sales,1,99.2,3,True,0.9103,EnvironmentSatisfaction;MonthlyIncome;OverTime;StockOptionLevel;TrainingTimesLastYear
109,Female,Young,22,Single,Research & Development,0,56.0,3,True,0.7528,JobRole;OverTime;WorkLifeBalance
111,Male,Young,34,Single,Research & Development,1,99.3,3,True,0.7667,EnvironmentSatisfaction;OverTime;TrainingTimesLastYear
124,Male,Young,31,Married,Sales,1,99.6,3,True,0.9738,MonthlyIncome;RelationshipSatisfaction;StockOptionLevel;WorkLifeBalance
127,Male,Young,19,Single,Sales,1,100.0,3,True,1.1736,BusinessTravel;JobRole;OverTime;StockOptionLevel;TrainingTimesLastYear
132,Female,Young,31,Married,Sales,1,48.8,3,True,0.9778,DistanceFromHome;JobRole;JobSatisfaction;MonthlyIncome;OverTime
140,Female,Young,32,Single,Research & Development,1,99.7,3,True,1.9786,EnvironmentSatisfaction;JobInvolvement;JobRole;JobSatisfaction;MonthlyIncome;RelationshipSatisfaction;StockOptionLevel
153,Male,Senior,45,Divorced,Research & Development,0,21.6,3,True,0.7583,BusinessTravel;DistanceFromHome;JobInvolvement;TrainingTimesLastYear
171,Female,Young,19,Single,Sales,1,99.7,3,True,0.8332,JobLevel;MonthlyIncome;StockOptionLevel;WorkLifeBalance
177,Male,Young,19,Single,Research & Development,1,99.4,3,True,2.4806,JobInvolvement;JobLevel;JobRole;OverTime;RelationshipSatisfaction;StockOptionLevel;WorkLifeBalance
192,Male,Senior,35,Married,Research & Development,1,99.3,3,True,0.9611,BusinessTravel;JobInvolvement;OverTime
204,Male,Senior,38,Married,Research & Development,1,99.4,3,True,1.3319,JobRole;JobSatisfaction;OverTime;StockOptionLevel
205,Female,Young,29,Married,Sales,1,98.3,3,True,1.1083,BusinessTravel;DistanceFromHome;JobLevel;StockOptionLevel
210,Male,Young,32,Married,Sales,1,99.2,3,True,0.7458,JobRole;StockOptionLevel
216,Female,Young,30,Single,Sales,1,99.9,3,True,0.7153,JobRole;StockOptionLevel
229,Male,Young,29,Single,Research & Development,1,62.1,3,True,0.9111,EnvironmentSatisfaction;OverTime;StockOptionLevel;WorkLifeBalance
234,Male,Young,33,Married,Research & Development,1,99.7,3,True,0.6024,JobRole;MonthlyIncome;WorkLifeBalance
236,Female,Young,33,Married,Research & Development,1,99.0,3,True,1.4667,EnvironmentSatisfaction;RelationshipSatisfaction;StockOptionLevel
264,Male,Young,28,Single,Research & Development,1,99.3,3,True,1.5583,EnvironmentSatisfaction;JobRole;StockOptionLevel;WorkLifeBalance
271,Male,Senior,47,Married,Research & Development,1,99.0,3,True,0.7389,BusinessTravel;JobSatisfaction;OverTime
286,Male,Senior,44,Divorced,Research & Development,1,98.9,3,True,0.8472,JobLevel;JobRole;TrainingTimesLastYear
288,Male,Young,26,Divorced,Research & Development,1,99.4,3,True,0.4599,MonthlyIncome;OverTime
293,Male,Young,26,Single,Sales,1,30.6,3,True,0.6548,MonthlyIncome;StockOptionLevel;TrainingTimesLastYear
296,Male,Young,18,Single,Research & Development,1,99.8,3,True,1.8345,JobLevel;JobRole;MonthlyIncome;OverTime;StockOptionLevel;TrainingTimesLastYear
301,Female,Young,18,Single,Sales,0,97.1,3,True,3.0046,EnvironmentSatisfaction;JobInvolvement;JobRole;MonthlyIncome;OverTime;RelationshipSatisfaction;StockOptionLevel;TrainingTimesLastYear
310,Male,Young,31,Married,Human Resources,0,74.3,3,True,0.5497,EnvironmentSatisfaction;JobRole;MonthlyIncome;StockOptionLevel
317,Male,Senior,52,Married,Research & Development,1,99.0,3,True,1.3792,JobInvolvement;JobRole;OverTime;RelationshipSatisfaction;StockOptionLevel
318,Female,Young,27,Single,Research & Development,0,51.9,3,True,0.5732,BusinessTravel;DistanceFromHome;MonthlyIncome
323,Male,Young,28,Married,Research & Development,1,99.4,3,True,1.0889,JobInvolvement;JobSatisfaction;StockOptionLevel;WorkLifeBalance
327,Female,Senior,39,Married,Sales,1,99.0,3,True,0.5986,JobRole;StockOptionLevel;TrainingTimesLastYear
336,Male,Young,29,Married,Research & Development,1,99.8,3,True,0.6385,JobLevel;MonthlyIncome;OverTime
357,Female,Young,21,Single,Sales,1,93.4,3,True,0.6279,EnvironmentSatisfaction;MonthlyIncome;OverTime;RelationshipSatisfaction
363,Female,Young,33,Single,Sales,1,99.6,3,True,0.7194,JobRole;StockOptionLevel
366,Male,Senior,41,Single,Sales,1,99.0,3,True,0.6583,JobRole;StockOptionLevel;TrainingTimesLastYear
368,Male,Senior,40,Married,Sales,1,99.2,3,True,0.7188,MonthlyIncome;OverTime;RelationshipSatisfaction
370,Female,Young,21,Single,Sales,1,99.7,3,True,0.5666,JobRole;MonthlyIncome;StockOptionLevel
378,Male,Young,34,Single,Sales,1,99.7,3,True,1.3547,BusinessTravel;EnvironmentSatisfaction;MonthlyIncome;StockOptionLevel
385,Male,Young,30,Single,Research & Development,1,99.7,3,True,0.2683,MonthlyIncome;RelationshipSatisfaction;TrainingTimesLastYear
405,Male,Young,25,Married,Research & Development,1,99.0,3,True,1.1926,EnvironmentSatisfaction;JobInvolvement;JobRole;MonthlyIncome
414,Female,Young,24,Single,Sales,1,99.5,3,True,1.0625,JobRole;OverTime;WorkLifeBalance
415,Female,Young,34,Divorced,Sales,1,98.9,3,True,0.0975,MonthlyIncome
416,Male,Senior,38,Married,Research & Development,0,89.3,3,True,0.5542,JobRole;OverTime;StockOptionLevel
421,Female,Young,29,Married,Research & Development,1,99.0,3,True,0.9444,JobSatisfaction;StockOptionLevel;WorkLifeBalance
422,Male,Young,19,Single,Human Resources,1,99.3,3,True,0.8569,EnvironmentSatisfaction;JobRole;MonthlyIncome;StockOptionLevel
435,Male,Young,33,Married,Research & Development,1,99.3,3,True,0.6736,BusinessTravel;JobRole;OverTime
436,Male,Young,33,Divorced,Research & Development,1,99.0,3,True,1.9306,EnvironmentSatisfaction;JobInvolvement;JobRole;RelationshipSatisfaction
439,Male,Young,31,Married,Research & Development,1,99.4,3,True,1.3668,EnvironmentSatisfaction;JobRole;JobSatisfaction;MonthlyIncome;RelationshipSatisfaction;TrainingTimesLastYear
440,Female,Young,34,Divorced,Human Resources,1,99.0,3,True,1.0458,EnvironmentSatisfaction;JobRole;OverTime;StockOptionLevel
453,Female,Young,26,Divorced,Human Resources,1,99.6,3,True,0.9548,DistanceFromHome;OverTime
457,Male,Young,18,Single,Sales,1,99.9,3,True,0.7583,JobRole;OverTime
463,Male,Young,26,Single,Research & Development,1,100.0,3,True,0.7998,JobRole;MonthlyIncome;StockOptionLevel;WorkLifeBalance
