config,model,attribute,group,n,effectiveness,median_cost
tight,RF,Gender,Female,109,1.0,0.7944
tight,RF,Gender,Male,172,0.9942,0.8306
tight,RF,AgeGroup,Senior,89,1.0,0.7944
tight,RF,AgeGroup,Young,192,0.9948,0.8167
tight,RF,MaritalStatus,Divorced,43,1.0,0.7555
tight,RF,MaritalStatus,Married,93,1.0,0.7917
tight,RF,MaritalStatus,Single,145,0.9931,0.8264
tight,XGB,Gender,Female,88,0.9773,0.8333
tight,XGB,Gender,Male,139,0.9856,0.7845
tight,XGB,AgeGroup,Senior,71,1.0,0.8389
tight,XGB,AgeGroup,Young,156,0.9744,0.7985
tight,XGB,MaritalStatus,Divorced,35,1.0,0.7083
tight,XGB,MaritalStatus,Married,75,1.0,0.8417
tight,XGB,MaritalStatus,Single,117,0.9658,0.8208
moderate,RF,Gender,Female,109,1.0,0.7698
moderate,RF,Gender,Male,172,0.9942,0.8167
moderate,RF,AgeGroup,Senior,89,1.0,0.7785
moderate,RF,AgeGroup,Young,192,0.9948,0.8111
moderate,RF,MaritalStatus,Divorced,43,1.0,0.7181
moderate,RF,MaritalStatus,Married,93,1.0,0.675
moderate,RF,MaritalStatus,Single,145,0.9931,0.8276
moderate,XGB,Gender,Female,88,0.9886,0.7964
moderate,XGB,Gender,Male,139,0.9928,0.7742
moderate,XGB,AgeGroup,Senior,71,1.0,0.7791
moderate,XGB,AgeGroup,Young,156,0.9872,0.795
moderate,XGB,MaritalStatus,Divorced,35,1.0,0.692
moderate,XGB,MaritalStatus,Married,75,1.0,0.7583
moderate,XGB,MaritalStatus,Single,117,0.9829,0.8208
loose,RF,Gender,Female,109,1.0,0.7597
loose,RF,Gender,Male,172,1.0,0.8118
loose,RF,AgeGroup,Senior,89,1.0,0.7929
loose,RF,AgeGroup,Young,192,1.0,0.7757
loose,RF,MaritalStatus,Divorced,43,1.0,0.7278
loose,RF,MaritalStatus,Married,93,1.0,0.7113
loose,RF,MaritalStatus,Single,145,1.0,0.8361
loose,XGB,Gender,Female,88,0.9886,0.7153
loose,XGB,Gender,Male,139,0.9928,0.7583
loose,XGB,AgeGroup,Senior,71,1.0,0.7389
loose,XGB,AgeGroup,Young,156,0.9872,0.7604
loose,XGB,MaritalStatus,Divorced,35,1.0,0.6368
loose,XGB,MaritalStatus,Married,75,1.0,0.7317
loose,XGB,MaritalStatus,Single,117,0.9829,0.7962
