emp_id,Gender,AgeGroup,Age,MaritalStatus,Department,true_attrition,predicted_risk,n_cf_found,recourse_found,L1_cost,changed_feats
0,Female,Senior,41,Single,Sales,1,99.3,3,True,0.5444,JobRole;RelationshipSatisfaction;StockOptionLevel
2,Male,Senior,37,Single,Research & Development,1,84.4,3,True,0.9889,EnvironmentSatisfaction;JobLevel;OverTime;StockOptionLevel
14,Male,Young,28,Single,Research & Development,1,99.9,3,True,0.7611,JobInvolvement;JobRole;OverTime
23,Male,Young,21,Single,Research & Development,0,56.6,3,True,0.5077,BusinessTravel;MonthlyIncome;StockOptionLevel
26,Female,Young,32,Single,Research & Development,1,99.8,3,True,0.8778,RelationshipSatisfaction;StockOptionLevel
33,Male,Senior,39,Married,Sales,1,98.6,3,True,1.0042,EnvironmentSatisfaction;JobRole;WorkLifeBalance
34,Male,Young,24,Married,Research & Development,1,99.5,3,True,0.4111,MonthlyIncome;OverTime;WorkLifeBalance
41,Female,Young,27,Divorced,Research & Development,0,55.1,3,True,0.3277,JobLevel;JobRole;MonthlyIncome
42,Male,Young,26,Single,Research & Development,1,99.7,3,True,2.1028,EnvironmentSatisfaction;JobInvolvement;JobRole;StockOptionLevel
50,Male,Senior,48,Single,Research & Development,1,99.5,3,True,1.0722,EnvironmentSatisfaction;TrainingTimesLastYear
51,Male,Young,28,Single,Research & Development,1,99.4,3,True,0.8703,JobInvolvement;JobLevel;MonthlyIncome;StockOptionLevel
63,Female,Senior,59,Single,Sales,0,31.2,3,True,0.4372,EnvironmentSatisfaction;JobSatisfaction;MonthlyIncome
89,Male,Senior,46,Single,Sales,1,98.7,3,True,0.7222,JobRole
100,Male,Senior,37,Divorced,Human Resources,1,99.3,3,True,1.0792,BusinessTravel;JobRole;OverTime
102,Female,Young,20,Single,Research & Development,1,95.0,3,True,0.7986,JobInvolvement;JobLevel;JobRole;StockOptionLevel
107,Male,Young,25,Single,Sales,1,99.2,3,True,0.9011,EnvironmentSatisfaction;MonthlyIncome;OverTime;StockOptionLevel;TrainingTimesLastYear
109,Female,Young,22,Single,Research & Development,0,56.0,3,True,0.2682,DistanceFromHome;JobInvolvement;JobRole;MonthlyIncome
111,Male,Young,34,Single,Research & Development,1,99.3,3,True,0.7667,EnvironmentSatisfaction;OverTime;TrainingTimesLastYear
124,Male,Young,31,Married,Sales,1,99.6,3,True,0.966,MonthlyIncome;RelationshipSatisfaction;StockOptionLevel;WorkLifeBalance
